Rank,City,State,Median Sales Price,Median Rental,# of Whole Foods
N/A,Greenville,SC,"$187,400","$1,295",N/A
N/A,Ventura,CA,"$596,100","$2,950",N/A
N/A,Allentown,PA,"$185,800","$1,450",N/A
19,El Paso,TX,"$146,900","$1,175",1
90,Baton Rouge,LA,"$179,200","$1,295",4
N/A,Dayton,OH,"$124,200",$950,N/A
N/A,Columbia,SC,"$149,400","$1,200",N/A
69,Greensboro,NC,"$156,800","$1,195",5
N/A,Akron,OH,"$140,300",$850,N/A
N/A,North Port-Sarasota-Bradenton,FL,"$263,000","$2,000",N/A
N/A,Little Rock,AR,"$155,200","$1,000",N/A
64,Stockton,CA,"$357,200","$2,000",0
N/A,Charleston,SC,"$242,800","$1,750",N/A
N/A,Syracuse,NY,"$141,900","$1,350",N/A
41,Colorado Springs,CO,"$300,300","$1,650",1
85,Winston-Salem,NC,"$155,000","$1,249",3
N/A,Wichita,KS,"$154,000",$900,N/A
N/A,Springfield,MA,"$204,800","$1,513",N/A
N/A,Fort Myers,FL,"$223,600","$1,700",N/A
99,Boise City,ID,"$279,200","$1,499",1
67,Toledo,OH,"$126,100",$850,5
82,Madison,WI,"$254,600","$1,600",1
N/A,Lakeland,FL,"$178,400","$1,395",N/A
N/A,Ogden,UT,"$285,800","$1,500",N/A
N/A,Daytona Beach,FL,"$202,200","$1,500",N/A
N/A,Des Moines,IA,"$199,600","$1,250",N/A
N/A,Youngstown,OH,"$90,600",$750,N/A
N/A,Augusta,GA,"$155,300","$1,150",N/A
N/A,Scranton,PA,"$110,300","$1,000",N/A
N/A,Harrisburg,PA,"$167,500","$1,295",N/A
N/A,Melbourne,FL,"$213,500","$1,513",N/A
N/A,Chattanooga,TN,"$181,900","$1,395",N/A
N/A,Spokane,WA,"$238,000","$1,397",N/A
N/A,Lancaster,PA,"$210,400","$1,200",N/A
N/A,Modesto,CA,"$311,500","$1,650",N/A
83,Durham,NC,"$253,300","$1,525",8
N/A,Santa Rosa,CA,"$603,400","$2,800",N/A
62,Lexington,KY,"$177,800","$1,195",2
N/A,Lafayette,LA,"$165,200","$1,100",N/A
N/A,Lansing,MI,"$151,500",$985,N/A
N/A,Fayetteville,AR,"$190,600","$1,300",N/A
N/A,Pensacola,FL,"$189,000","$1,275",N/A
N/A,Visalia,CA,"$232,200","$1,300",N/A
N/A,York,PA,"$175,400","$1,250",N/A
N/A,Flint,MI,"$125,200",$750,N/A
89,Reno,NV,"$361,200","$1,800",1
N/A,Asheville,NC,"$265,900","$1,495",N/A
N/A,Port St. Lucie,FL,"$218,400","$1,700",N/A
N/A,Santa Maria-Santa Barbara,CA,"$560,700","$4,000",N/A
N/A,Huntsville,AL,"$178,300","$1,233",N/A
74,Fort Wayne,IN,"$152,800",$810,0
N/A,Salinas,CA,"$544,900","$3,195",N/A
N/A,Vallejo,CA,"$421,200","$2,295",N/A
N/A,Reading,PA,"$159,900","$1,200",N/A
N/A,Canton,OH,"$131,400",$795,N/A
N/A,Manchester,NH,"$268,700","$1,750",N/A
N/A,Salem,OR,"$285,500","$1,495",N/A
63,Anchorage,AK,"$324,500","$1,700",0
N/A,Davenport,IL,"$132,400",$998,N/A
N/A,Peoria,IL,"$117,000",$820,N/A
N/A,Myrtle Beach,SC,"$182,400","$1,348",N/A
N/A,Montgomery,AL,"$142,300",$950,N/A
N/A,Salisbury,MD,"$238,400","$1,355",N/A
N/A,Tallahassee,FL,"$175,700","$1,150",N/A
N/A,Trenton,NJ,"$210,900","$1,825",N/A
N/A,Fayetteville,NC,"$131,600",$995,N/A
N/A,Hickory,NC,"$162,600",#N/A,N/A
N/A,Huntington,WV,"$125,200",$875,N/A
N/A,Eugene,OR,"$291,000","$1,575",N/A
N/A,Rockford,IL,"$121,400","$1,000",N/A
N/A,Savannah,GA,"$202,600","$1,425",N/A
N/A,Ann Arbor,MI,"$265,300",#N/A,N/A
N/A,Ocala,FL,"$148,400","$1,250",N/A
N/A,Kalamazoo,MI,"$154,400","$1,400",N/A
N/A,Naples,FL,"$320,500","$3,700",N/A
N/A,South Bend,IN,"$129,500",$825,N/A
N/A,Spartanburg,SC,"$142,100","$1,100",N/A
N/A,Evansville,IN,"$141,100",$850,N/A
N/A,Kingsport,TN,"$134,000",$900,N/A
N/A,Roanoke,VA,"$169,800","$1,100",N/A
N/A,Green Bay,WI,"$169,100",$895,N/A
72,Lincoln,NE,"$183,000","$1,250",1
N/A,Fort Collins,CO,"$385,600","$1,795",N/A
N/A,Utica,NY,"$127,000",#N/A,N/A
15,Columbus,GA,"$145,700",$863,4
N/A,Boulder,CO,"$528,000","$2,300",N/A
N/A,Erie,PA,"$115,700",$950,N/A
N/A,Fort Smith,AR,"$117,400",$775,N/A
N/A,Duluth,MN,"$160,900","$1,178",N/A
N/A,New London,CT,"$222,600","$1,500",N/A
N/A,San Luis Obispo,CA,"$594,000","$2,500",N/A
N/A,Gainesville,FL,"$194,100","$1,300",N/A
